Type;Record;Author;Year;Journal;Title;Series;Published;Volume;Pages;Date;ShortTitle;Label;Keywords;Abstract;Language;Notes
  Book;496; N. Ozeretskovski;1773;; The down of the Common Eider. (In Russian); Trudy Vserossijskogo economicheskogo obshchestva (Transactions of All- Russian  economical society); St.Petersbourg;23;105-114;1773; The down of the Common Eider. (In Russian);260; White Sea, Common Eider, Breeding, Harvesting;;;
  Book;214; A. Fomin;1797;; Opisanie Belogo morya s ego beregami i ostrovami. (Description of the White Sea with its shores and islands).;; St. Petersbourg;;196;1797; Opisanie Belogo morya s ego beregami i ostrovami. (Discription of the White Sea with its shores and islands).;6140; White Sea, Common Eider, Distribution, Habitats;;;
  Book;497; N. Ozeretskovski;1805;; Diary of the journey of Ivan Lepechin along the different provinces in the state of Russia. (in Russian);; St. Petersbourgh;4;458;1805; Diary of the journey of Ivan Lepechin along the different provinces in the state of Russia. (in Russian);4990; White sea, Many orders, Common Eider, Harvesting;;;
  Book;454; A. T. Middendorff;1843;;Bericht uber die ornithologischen Ergebnissen der naturhistorischen (mit Herrn v. Baer angestellten) Raise in Lappland, wahrend des Sommers 1840 mit einem Nachtrage von V. Baer.;; St. Ptsb.;8;84;1843;Bericht uber die ornithologischen Ergebnissen der naturhistorischen (mit Herrn v. Baer angestellten) Raise in Lappland, wahrend des Sommers 1840 mit einem Nachtrage von V. Baer.;4700; Common Eider, Spectacled Eider, Distribution;;;
  Book;215; A. F. Fon-Lechner;1854;; Birds in Solovki. (in Russian); Vestnik estestvennykh nauk Imperatorskogo Moskovskogo obshchestva ispytateley prirody. (Herold of the nature science of the Emperor of the Moscow society of nature explorers);;1;"537-549; 558-568";1854; Birds in Solovki. (in Russian);6150; White Sea, Many orders, Distribution;;;ProCite field[24]: 34-35
  Book;18; K. Baer and N. Danilevski;1862;; Fish and animal economy of the White and Ledovitoe seas. (in Russian); Issledovaniya o sostoyanii pybolovstva v Rossii. (Study of fishery status in Russia); St. Petersburg;6;1-257;1862; Fish and animal economy of the White and Ledovitoe seas. (in Russian);4070; White Sea, Barents Sea, Common Eider, Harvesting;;;
  Journal Article;492; A. F. Noreyko;1863; Arkhangelskie gubernskie vedomosti. (Arkhangelsk regional news); Some words about the destruction of Eider eggs. (in Russian);;;10;86-87;1863; Some words about the destruction of Eider eggs. (in Russian);4980; White Sea, Common Eider, Harvesting, Survival, Breeding;;;
  Book;600; K. Svenske;1866;; Novaya Zemlya. (in Russian);; St. Petersbourg;4, Ptitsy (Birds);103-109, 128-129;1866; Novaya Zemlya. (in Russian);820; Barents Sea, Novaya Zemlya, Many orders, Distribution;;;
  Journal Article;191; P. Efimenko;1867; Arkhangelskie gubernskie vedomosti. (Arkhangelsk district news); Long term harvesting in Novaya Zemlya with special reference to current year. (in Russian);;;;;1867; Long term harvesting in Novaya Zemlya with special reference to current year. (in Russian);6630; Barents Sea, Novay Zemlya, Alcids, Eider, Harvesting;;;
  Book;455; V. u. A. Saugethiere;1867;; Middendorff, A. Th.;; St. Ptsb.;;256;1867; Middendorff, A. Th.;4710; King Eider, Spectacled Eider, Distribution;;;
